# energy_eV sigma_m2
1.00000000e-03 6.29840000e-20
2.00000000e-03 5.83500000e-20
5.00000000e-03 4.97750000e-20
1.00000000e-02 4.11300000e-20
1.74190000e-02 3.29060000e-20
3.51420000e-02 2.14490000e-20
5.31740000e-02 1.47410000e-20
7.15190000e-02 1.03260000e-20
9.01840000e-02 7.27320000e-21
1.09170000e-01 5.11700000e-21
1.28500000e-01 3.58900000e-21
1.48150000e-01 2.51910000e-21
1.68150000e-01 1.79320000e-21
1.88500000e-01 1.33070000e-21
2.09210000e-01 1.07300000e-21
2.30270000e-01 9.76290000e-22
2.51700000e-01 1.00700000e-21
2.73500000e-01 1.13900000e-21
2.95690000e-01 1.35170000e-21
3.18260000e-01 1.62890000e-21
3.41220000e-01 1.95740000e-21
3.64580000e-01 2.32670000e-21
3.88350000e-01 2.72820000e-21
4.12540000e-01 3.15520000e-21
4.37140000e-01 3.60210000e-21
4.62180000e-01 4.06450000e-21
4.87650000e-01 4.53910000e-21
5.13560000e-01 5.02310000e-21
5.39930000e-01 5.51460000e-21
5.66750000e-01 6.01230000e-21
5.94040000e-01 6.51530000e-21
6.21810000e-01 7.02330000e-21
6.50060000e-01 7.53630000e-21
6.78800000e-01 8.05460000e-21
7.08050000e-01 8.57900000e-21
7.37800000e-01 9.11050000e-21
7.68070000e-01 9.65030000e-21
7.98870000e-01 1.02000000e-20
8.30210000e-01 1.07620000e-20
8.62090000e-01 1.13370000e-20
8.94520000e-01 1.19280000e-20
9.27520000e-01 1.25370000e-20
9.61100000e-01 1.31680000e-20
9.95260000e-01 1.38210000e-20
1.03000000e+00 1.43160000e-20
1.06540000e+00 1.47910000e-20
1.10140000e+00 1.52750000e-20
1.13800000e+00 1.57670000e-20
1.17520000e+00 1.62670000e-20
1.21310000e+00 1.67700000e-20
1.25160000e+00 1.72710000e-20
1.29090000e+00 1.77810000e-20
1.33080000e+00 1.83000000e-20
1.37140000e+00 1.88280000e-20
1.41270000e+00 1.93650000e-20
1.45470000e+00 1.99110000e-20
1.49750000e+00 2.04670000e-20
1.54100000e+00 2.10740000e-20
1.58520000e+00 2.16930000e-20
1.63030000e+00 2.23240000e-20
1.67610000e+00 2.29650000e-20
1.72270000e+00 2.35800000e-20
1.77010000e+00 2.41650000e-20
1.81840000e+00 2.47600000e-20
1.86750000e+00 2.53660000e-20
1.91740000e+00 2.59820000e-20
1.96820000e+00 2.66080000e-20
2.02000000e+00 2.72910000e-20
2.07260000e+00 2.80590000e-20
2.12610000e+00 2.88410000e-20
2.18050000e+00 2.96360000e-20
2.23590000e+00 3.04450000e-20
2.29230000e+00 3.12680000e-20
2.34970000e+00 3.21050000e-20
2.40800000e+00 3.29570000e-20
2.46740000e+00 3.38240000e-20
2.52780000e+00 3.47280000e-20
2.58920000e+00 3.56740000e-20
2.65170000e+00 3.66370000e-20
2.71540000e+00 3.76160000e-20
2.78010000e+00 3.86130000e-20
2.84590000e+00 3.96270000e-20
2.91290000e+00 4.06590000e-20
2.98110000e+00 4.17090000e-20
3.05040000e+00 4.27560000e-20
3.12100000e+00 4.38150000e-20
