# energy_eV sigma_m2
1.15490000e+01 1.34620000e-24
1.15650000e+01 2.34490000e-23
1.15830000e+01 4.73070000e-23
1.16010000e+01 7.20340000e-23
1.16200000e+01 1.03830000e-22
1.16250000e+01 1.12051153e-22
1.16380000e+01 1.57297029e-22
1.16410000e+01 1.79253965e-22
1.16570000e+01 2.33911623e-22
1.16590000e+01 2.46079267e-22
1.16760000e+01 2.51828247e-22
1.16770000e+01 2.52308682e-22
1.16960000e+01 2.40390000e-22
1.17140000e+01 2.21187095e-22
1.17160000e+01 2.18879973e-22
1.17240000e+01 2.10953824e-22
1.17330000e+01 2.04467760e-22
1.17370000e+01 2.05213521e-22
1.17400000e+01 2.08202195e-22
1.17520000e+01 2.13904380e-22
1.17570000e+01 2.24428363e-22
1.17580000e+01 2.27027548e-22
1.17720000e+01 2.42323845e-22
1.17760000e+01 2.46697186e-22
1.17780000e+01 2.47786613e-22
1.17920000e+01 2.55453026e-22
1.17950000e+01 2.56695676e-22
1.18000000e+01 2.56379472e-22
1.18130000e+01 2.71815666e-22
1.18220000e+01 2.85345095e-22
1.18290000e+01 3.16879784e-22
1.18320000e+01 3.33942093e-22
1.18330000e+01 3.40749297e-22
1.18440000e+01 4.69109624e-22
1.18450000e+01 4.84353337e-22
1.18510000e+01 4.76447040e-22
1.18540000e+01 4.74845704e-22
1.18630000e+01 4.71786434e-22
1.18660000e+01 4.56563991e-22
1.18710000e+01 4.35067650e-22
1.18760000e+01 4.14461244e-22
1.18810000e+01 3.98697924e-22
1.18890000e+01 3.74602510e-22
1.18910000e+01 3.71132294e-22
1.18980000e+01 3.59545017e-22
1.19000000e+01 3.57131365e-22
1.19120000e+01 3.43810255e-22
1.19130000e+01 3.42762355e-22
1.19180000e+01 3.38561386e-22
1.19200000e+01 3.37055351e-22
1.19320000e+01 3.28781536e-22
1.19360000e+01 3.26136726e-22
1.19370000e+01 3.25713623e-22
1.19420000e+01 3.24224447e-22
1.19530000e+01 3.21211792e-22
1.19560000e+01 3.20532468e-22
1.19610000e+01 3.20651819e-22
1.19650000e+01 3.20771463e-22
1.19750000e+01 3.21140912e-22
1.19760000e+01 3.21180764e-22
1.19850000e+01 3.21989658e-22
1.19890000e+01 3.22405300e-22
1.19960000e+01 3.23500622e-22
1.19970000e+01 3.23759876e-22
1.20100000e+01 3.27343703e-22
1.20120000e+01 3.27939485e-22
1.20170000e+01 3.29592914e-22
1.20190000e+01 3.30303957e-22
1.20360000e+01 3.36486310e-22
1.20370000e+01 3.36849727e-22
1.20410000e+01 3.38339638e-22
1.20580000e+01 3.44759990e-22
1.20610000e+01 3.45979976e-22
1.20620000e+01 3.46367056e-22
1.20640000e+01 3.47131767e-22
1.20800000e+01 3.53310894e-22
1.20860000e+01 3.55685500e-22
1.20880000e+01 3.56537779e-22
1.21020000e+01 3.63463827e-22
1.21110000e+01 3.68424072e-22
1.21120000e+01 3.68988535e-22
1.21150000e+01 3.70801357e-22
1.21240000e+01 3.76677022e-22
1.21360000e+01 3.84679990e-22
1.21380000e+01 3.86032884e-22
1.21420000e+01 3.88728451e-22
1.21460000e+01 3.91340756e-22
1.21600000e+01 4.00585962e-22
1.21640000e+01 4.03259545e-22
1.21690000e+01 4.06557338e-22
1.21700000e+01 4.07216667e-22
1.21850000e+01 4.17037750e-22
1.21910000e+01 4.21041165e-22
1.21930000e+01 4.22663022e-22
1.21980000e+01 4.26947145e-22
1.22110000e+01 4.38923263e-22
1.22160000e+01 4.43643560e-22
1.22180000e+01 4.45555392e-22
1.22270000e+01 4.54608245e-22
1.22370000e+01 4.64766245e-22
1.22410000e+01 4.68893895e-22
1.22460000e+01 4.74134326e-22
1.22560000e+01 4.84493533e-22
1.22630000e+01 4.91662876e-22
1.22650000e+01 4.93725884e-22
1.22740000e+01 5.03068696e-22
1.22860000e+01 5.14913014e-22
1.22900000e+01 5.18876971e-22
1.23030000e+01 5.32431393e-22
1.23160000e+01 5.42136006e-22
1.23170000e+01 5.42885090e-22
1.23320000e+01 5.54254486e-22
1.23420000e+01 5.61953987e-22
1.23450000e+01 5.64279050e-22
1.23470000e+01 5.65830665e-22
1.23620000e+01 5.77368475e-22
1.23680000e+01 5.82058055e-22
1.23730000e+01 5.85943120e-22
1.23780000e+01 5.89840213e-22
1.23920000e+01 6.00363254e-22
1.23950000e+01 6.03024323e-22
1.24020000e+01 6.09648772e-22
1.24100000e+01 6.17390214e-22
1.24220000e+01 6.28633356e-22
1.24230000e+01 6.29577068e-22
1.24310000e+01 6.37500164e-22
1.24430000e+01 6.49496634e-22
1.24500000e+01 6.56515728e-22
1.24540000e+01 6.60533871e-22
1.24610000e+01 6.67506121e-22
1.24760000e+01 6.82638373e-22
1.24780000e+01 6.84632752e-22
1.24860000e+01 6.92666161e-22
1.24910000e+01 6.97603100e-22
1.25070000e+01 7.13467636e-22
1.25090000e+01 7.15565424e-22
1.25190000e+01 7.25580647e-22
1.25220000e+01 7.28568609e-22
1.25360000e+01 7.42612521e-22
1.25430000e+01 7.49576493e-22
1.25520000e+01 7.58473893e-22
1.25530000e+01 7.59463678e-22
1.25660000e+01 7.72393529e-22
1.25780000e+01 7.84401949e-22
1.25850000e+01 7.91080845e-22
1.25960000e+01 8.00898348e-22
1.26130000e+01 8.14950395e-22
1.26180000e+01 8.18643473e-22
1.26190000e+01 8.19378350e-22
1.26270000e+01 8.24912252e-22
1.26490000e+01 8.40010015e-22
1.26510000e+01 8.41384648e-22
1.26540000e+01 8.43447800e-22
1.26580000e+01 8.46203676e-22
1.26840000e+01 8.63986593e-22
1.26860000e+01 8.65341365e-22
1.26890000e+01 8.67005029e-22
1.26900000e+01 8.67485838e-22
1.27180000e+01 8.79988163e-22
1.27230000e+01 8.82185682e-22
1.27250000e+01 8.82884930e-22
1.27530000e+01 8.91905217e-22
1.27560000e+01 8.92881429e-22
1.27610000e+01 8.94501878e-22
1.27620000e+01 8.94826605e-22
1.27880000e+01 9.03355591e-22
1.27890000e+01 9.03654031e-22
1.27990000e+01 9.06089308e-22
1.28000000e+01 9.06195594e-22
1.28230000e+01 9.02059747e-22
1.28240000e+01 9.01834744e-22
1.28370000e+01 8.98362841e-22
1.28390000e+01 8.97338500e-22
1.28580000e+01 8.78648588e-22
1.28610000e+01 8.75546346e-22
1.28760000e+01 8.59236065e-22
1.28790000e+01 8.56898647e-22
1.28930000e+01 8.54137753e-22
1.28980000e+01 8.55531689e-22
1.29080000e+01 8.75221898e-22
1.29150000e+01 8.87294514e-22
1.29190000e+01 8.93249917e-22
1.29240000e+01 8.95559821e-22
1.29290000e+01 8.89010495e-22
1.29360000e+01 8.74678740e-22
1.29420000e+01 8.61965041e-22
1.29550000e+01 8.29629085e-22
1.29600000e+01 8.21250422e-22
1.29610000e+01 8.20127373e-22
1.29660000e+01 8.23377280e-22
1.29750000e+01 8.32766326e-22
1.29790000e+01 8.38034849e-22
1.29950000e+01 8.61529543e-22
1.29970000e+01 8.67788971e-22
1.30030000e+01 8.94637622e-22
1.30140000e+01 1.01529811e-21
1.30160000e+01 1.04082748e-21
1.30350000e+01 1.27435240e-21
1.30370000e+01 1.29700706e-21
1.30410000e+01 1.33652767e-21
1.30450000e+01 1.37109843e-21
1.30540000e+01 1.34185028e-21
1.30550000e+01 1.33742840e-21
1.30750000e+01 1.14150808e-21
1.30770000e+01 1.13322882e-21
1.30790000e+01 1.12519154e-21
