# energy_eV sigma_m2
1.57610000e+01 1.28960000e-24
1.57770000e+01 2.24640000e-23
1.57950000e+01 4.53180000e-23
1.58130000e+01 6.85710000e-23
1.58310000e+01 9.22290000e-23
1.58500000e+01 1.16300000e-22
1.58690000e+01 1.40790000e-22
1.58880000e+01 1.65700000e-22
1.59080000e+01 1.91050000e-22
1.59280000e+01 2.16850000e-22
1.59480000e+01 2.43090000e-22
1.59690000e+01 2.69790000e-22
1.59900000e+01 2.96950000e-22
1.60110000e+01 3.24250000e-22
1.60330000e+01 3.51720000e-22
1.60550000e+01 3.79670000e-22
1.60780000e+01 4.08110000e-22
1.61010000e+01 4.37050000e-22
1.61240000e+01 4.66480000e-22
1.61480000e+01 4.96430000e-22
1.61720000e+01 5.26910000e-22
1.61970000e+01 5.57910000e-22
1.62220000e+01 5.89450000e-22
1.62470000e+01 6.21540000e-22
1.62730000e+01 6.54200000e-22
1.63000000e+01 6.87420000e-22
1.63260000e+01 7.21220000e-22
1.63540000e+01 7.55600000e-22
1.63810000e+01 7.90590000e-22
1.64100000e+01 8.26190000e-22
1.64380000e+01 8.62400000e-22
1.64680000e+01 8.99250000e-22
1.64970000e+01 9.36740000e-22
1.65280000e+01 9.78200000e-22
1.65580000e+01 1.02070000e-21
1.65900000e+01 1.06390000e-21
1.66220000e+01 1.10790000e-21
1.66540000e+01 1.15270000e-21
1.66870000e+01 1.19820000e-21
1.67210000e+01 1.24460000e-21
1.67550000e+01 1.29170000e-21
1.67900000e+01 1.33970000e-21
1.68250000e+01 1.38850000e-21
1.68610000e+01 1.43810000e-21
1.68980000e+01 1.48860000e-21
1.69350000e+01 1.54000000e-21
1.69730000e+01 1.59230000e-21
1.70110000e+01 1.64620000e-21
1.70500000e+01 1.70270000e-21
1.70900000e+01 1.76020000e-21
1.71310000e+01 1.81860000e-21
1.71720000e+01 1.87810000e-21
1.72140000e+01 1.93860000e-21
1.72570000e+01 2.00020000e-21
1.73010000e+01 2.06280000e-21
1.73450000e+01 2.12660000e-21
1.73900000e+01 2.19140000e-21
1.74360000e+01 2.25740000e-21
1.74820000e+01 2.32450000e-21
1.75300000e+01 2.39460000e-21
1.75780000e+01 2.46700000e-21
1.76270000e+01 2.54060000e-21
1.76770000e+01 2.61560000e-21
1.77280000e+01 2.69180000e-21
1.77800000e+01 2.76930000e-21
1.78320000e+01 2.84830000e-21
1.78860000e+01 2.92850000e-21
